codice_xml,codice_framework,livello_suggerito,nome_competenza,area,motivazione_livello
MECCANICA_DT_01,MECCANICA_DT_01,1,"Legge e interpreta disegni tecnici 2D","Disegno tecnico & progettazione","Conoscenze base: lettura e interpretazione disegni"
MECCANICA_LMB_02,MECCANICA_LMB_02,1,"Esegue forature, segature, limature e filettature manuali","Lavorazioni meccaniche di base","Operazioni manuali fondamentali"
MECCANICA_LMB_03,MECCANICA_LMB_03,2,"Esegue lavori di adattamento e aggiustaggio di pezzi","Lavorazioni meccaniche di base","Richiede valutazione e adattamento"
MECCANICA_LMB_04,MECCANICA_LMB_04,2,"Riconosce materiali metallici e non metallici e ne valuta la lavorabilità","Lavorazioni meccaniche di base","Richiede conoscenza materiali e valutazione"
MECCANICA_LMB_05,MECCANICA_LMB_05,3,"Esegue operazioni di punzonatura, taglio e deformazione a freddo","Lavorazioni meccaniche di base","Operazioni specializzate e complesse"
MECCANICA_LMC_01,MECCANICA_LMC_01,2,"Prepara torni, frese e trapani per operazioni di precisione","Lavorazioni su macchine convenzionali","Setup macchine richiede esperienza"
MECCANICA_LMC_02,MECCANICA_LMC_02,2,"Esegue torniture e fresature su macchine tradizionali","Lavorazioni su macchine convenzionali","Operazioni pratiche su macchine"
MECCANICA_LMC_04,MECCANICA_LMC_04,1,"Effettua manutenzione base e pulizia delle macchine utensili","Lavorazioni su macchine convenzionali","Manutenzione base fondamentale"
MECCANICA_CNC_01,MECCANICA_CNC_01,2,"Interpreta disegni tecnici e prepara programmi CNC semplici","Lavorazioni CNC e tecnologie digitali","Programmazione CNC base/intermedia"
MECCANICA_CNC_02,MECCANICA_CNC_02,2,"Imposta e azzera macchine CNC per la produzione di pezzi","Lavorazioni CNC e tecnologie digitali","Setup CNC richiede competenze tecniche"
MECCANICA_CNC_03,MECCANICA_CNC_03,2,"Esegue la lavorazione CNC e monitora il processo di taglio","Lavorazioni CNC e tecnologie digitali","Monitoraggio processo richiede esperienza"
MECCANICA_ASS_01,MECCANICA_ASS_01,2,"Monta componenti meccanici e gruppi funzionali secondo disegno","Assemblaggio e montaggio meccanico","Assemblaggio richiede interpretazione disegno"
MECCANICA_ASS_04,MECCANICA_ASS_04,3,"Esegue controlli funzionali e test di collaudo","Assemblaggio e montaggio meccanico","Collaudo richiede analisi e valutazione critica"
MECCANICA_MIS_01,MECCANICA_MIS_01,1,"Utilizza strumenti di misura tradizionali (calibri, micrometri, comparatori)","Misurazione e controllo qualità","Uso strumenti base"
MECCANICA_MIS_02,MECCANICA_MIS_02,2,"Esegue controlli dimensionali e funzionali dei pezzi","Misurazione e controllo qualità","Controlli completi richiedono metodologia"
MECCANICA_MIS_03,MECCANICA_MIS_03,2,"Utilizza strumenti digitali e di misura automatica","Misurazione e controllo qualità","Strumenti digitali più avanzati"
MECCANICA_MIS_04,MECCANICA_MIS_04,3,"Interpreta disegni e tolleranze geometriche","Misurazione e controllo qualità","Tolleranze geometriche sono complesse"
MECCANICA_MIS_05,MECCANICA_MIS_05,2,"Documenta i risultati dei controlli e segnala non conformità","Misurazione e controllo qualità","Documentazione e analisi non conformità"
MECCANICA_GEN_01,MECCANICA_GEN_01,2,"Esegue trattamenti termici secondo specifiche tecniche","Trattamenti e processi speciali","Trattamenti termici richiedono conoscenze specifiche"
MECCANICA_GEN_02,MECCANICA_GEN_02,2,"Esegue saldature e brasature secondo norme di sicurezza","Trattamenti e processi speciali","Saldatura richiede competenze tecniche"
MECCANICA_PIAN_01,MECCANICA_PIAN_01,3,"Pianifica le fasi di lavorazione e i tempi di produzione","Pianificazione e documentazione tecnica","Pianificazione richiede visione d'insieme"
MECCANICA_PIAN_02,MECCANICA_PIAN_02,2,"Compila schede di produzione e rapporti di controllo","Pianificazione e documentazione tecnica","Documentazione tecnica standard"
